MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,102.02344,s,12/20/16 13:19
Axial Displacement,Axial Displacement Error,Axial Extensometer,Axial Extensometer Abs. Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,
mm,mm,mm/mm,mm/mm,N,N,s,s,,
-0.00061512,-6.42E-05,-0.000164067,0,681.18506,0,0.1015625,0.12011719,,
-0.000798702,0.000119392,-0.000153037,0,680.99847,0,0.20117188,0.21972656,,
-0.000402927,-0.000276383,-0.000232962,0,679.72717,0,0.30078125,0.31933594,,
-0.000634193,-4.51E-05,-0.000193317,0,679.5799,0,0.40039063,0.41894531,,
-0.00082016,0.00014085,-0.000286804,0,680.89185,0,0.5,0.51855469,,
-0.000653267,-2.60E-05,-0.000143963,0,677.92273,0,0.59960938,0.61816406,,
-0.000889301,0.000209991,-0.000294764,0,675.1734,0,0.69921875,0.71777344,,
-0.000503063,-0.000176247,-0.000237818,0,675.17297,0,0.79882813,0.81738281,,
-0.000193119,-0.000486191,-0.0001603,0,674.552,0,0.8984375,0.91699219,,
-0.000736713,5.74E-05,-2.22E-05,0,674.97266,0,0.99804688,1.0166016,,
-0.000550747,-0.000128563,-0.00012774,0,673.95404,0,1.0976563,1.1162109,,
-0.000259876,-0.000419434,-8.12E-05,0,673.2373,0,1.1972656,1.2158203,,
-0.001006126,0.000326816,-0.000156004,0,673.94067,0,1.296875,1.3154297,,
-0.001041889,0.000362579,-0.000145248,0,675.00433,0,1.3964844,1.4150391,,
-0.00023365,-0.00044566,-7.17E-05,0,677.41156,0,1.4960938,1.5146484,,
-0.000472069,-0.000207241,-0.000209134,0,679.98871,0,1.5957031,1.6142578,,
-0.000412464,-0.000266846,-0.000102747,0,681.36981,0,1.6953125,1.7138672,,
-0.000696182,1.69E-05,-0.000160798,0,682.89471,0,1.7949219,1.8134766,,
0.000197887,-0.000877198,-0.000127622,0,682.70648,0,1.8945313,1.9130859,,
-0.00074625,6.69E-05,7.03E-05,0,680.48651,0,1.9941406,2.0126953,,
-0.001149178,0.000469867,-0.000178938,0,678.078,0,2.09375,2.1123047,,
-0.000929832,0.000250522,-0.000115821,0,678.54089,0,2.1933594,2.2119141,,
-0.000104904,-0.000574406,-0.0001425,0,681.35822,0,2.2929688,2.3115234,,
-0.001161099,0.000481788,-8.21E-05,0,681.38312,0,2.3925781,2.4111328,,
-0.001058579,0.000379268,-3.32E-05,0,680.52252,0,2.4921875,2.5107422,,
-0.000295639,-0.000383671,-0.00021888,0,679.21527,0,2.5917969,2.6103516,,
-0.000445843,-0.000233467,-0.000100521,0,679.27612,0,2.6914063,2.7099609,,
-0.00036478,-0.00031453,-1.79E-06,0,678.75714,0,2.7910156,2.8095703,,
-0.000507832,-0.000171479,-0.000107622,0,677.57422,0,2.890625,2.9091797,,
-0.000898838,0.000219528,-0.000142051,0,677.7157,0,2.9902344,3.0087891,,
-0.000965595,0.000286285,-0.000190427,0,674.79547,0,3.0898438,3.1083984,,
-0.000896454,0.000217144,-0.00010485,0,674.67041,0,3.1894531,3.2080078,,
-0.000782013,0.000102703,-9.07E-05,0,676.08282,0,3.2890625,3.3076172,,
-0.000905991,0.00022668,-0.00013597,0,675.00836,0,3.3886719,3.4072266,,
-0.000548363,-0.000130947,-4.17E-05,0,673.28284,0,3.4882813,3.5068359,,
-0.001177788,0.000498478,-0.000163231,0,673.29138,0,3.5878906,3.6064453,,
-0.000646114,-3.32E-05,-0.0001241,0,674.26959,0,3.6875,3.7060547,,
-0.000584126,-9.52E-05,-7.48E-05,0,675.51331,0,3.7871094,3.8056641,,
-0.000627041,-5.23E-05,-0.000103909,0,674.91962,0,3.8867188,3.9052734,,
-0.000302792,-0.000376519,3.81E-05,0,676.77399,0,3.9863281,4.0048828,,
-0.000236034,-0.000443276,-0.000217998,0,676.84515,0,4.0859375,4.1044922,,
-0.000522137,-0.000157173,-0.000155722,0,677.84735,0,4.1855469,4.2041016,,
-0.000367165,-0.000312146,-0.000112742,0,677.13458,0,4.2851563,4.3037109,,
7.15E-05,-0.000750836,-0.000229857,0,679.97125,0,4.3847656,4.4033203,,
-0.000646114,-3.32E-05,4.93E-05,0,678.40283,0,4.484375,4.5029297,,
-0.000252724,-0.000426586,-0.000172357,0,680.28571,0,4.5839844,4.6025391,,
-0.000185966,-0.000493344,-0.00010038,0,678.75458,0,4.6835938,4.7021484,,
-0.000498295,-0.000181015,-0.000105989,0,679.15216,0,4.7832031,4.8017578,,
-0.000910759,0.000231449,-2.67E-05,0,675.65497,0,4.8828125,4.9013672,,
-0.000729561,5.03E-05,-0.00012186,0,677.2113,0,4.9824219,5.0009766,,
-0.00077486,9.56E-05,-9.33E-05,0,678.41425,0,5.0820313,5.1005859,,
-0.000536442,-0.000142868,-6.55E-05,0,675.10419,0,5.1816406,5.2001953,,
-0.000486374,-0.000192936,-0.000178794,0,670.92914,0,5.28125,5.2998047,,
-0.00061512,-6.42E-05,-8.87E-05,0,668.60291,0,5.3808594,5.3994141,,
-0.000617504,-6.18E-05,-0.000174392,0,668.5705,0,5.4804688,5.4990234,,
-0.001366139,0.000686828,-0.00010932,0,667.8963,0,5.5800781,5.5986328,,
-0.001080036,0.000400726,-0.000139537,0,665.59473,0,5.6796875,5.6982422,,
-0.001220703,0.000541393,-0.000104703,0,666.56879,0,5.7792969,5.7978516,,
-0.00095129,0.00027198,-7.55E-05,0,666.23474,0,5.8789063,5.8974609,,
-0.001153946,0.000474636,-0.000200317,0,667.97565,0,5.9785156,5.9970703,,
-0.001161099,0.000481788,-0.00021659,0,666.95215,0,6.078125,6.0966797,,
-0.000936985,0.000257675,-0.000197703,0,667.05627,0,6.1777344,6.1962891,,
-0.001316071,0.00063676,-0.000155154,0,669.24701,0,6.2773438,6.2958984,,
-0.00136137,0.00068206,-9.89E-05,0,667.66089,0,6.3769531,6.3955078,,
-0.000927448,0.000248138,-7.33E-05,0,667.93359,0,6.4765625,6.4951172,,
-0.001289845,0.000610534,-7.18E-05,0,666.36566,0,6.5761719,6.5947266,,
-0.001447201,0.000767891,-0.000240745,0,666.69153,0,6.6757813,6.6943359,,
-0.000650883,-2.84E-05,-9.93E-05,0,667.59424,0,6.7753906,6.7939453,,
-0.001122952,0.000443641,-0.000147448,0,666.97736,0,6.875,6.8935547,,
-0.000967979,0.000288669,-0.000208853,0,668.03925,0,6.9746094,6.9931641,,
-0.001218319,0.000539009,-0.000304992,0,671.29883,0,7.0742188,7.0927734,,
-0.000567436,-0.000111874,-0.000293052,0,674.19659,0,7.1738281,7.1923828,,
-0.001032352,0.000353042,-0.000193071,0,673.67987,0,7.2734375,7.2919922,,
-0.000491142,-0.000188168,3.14E-05,0,674.88367,0,7.3730469,7.3916016,,
-0.000977516,0.000298206,-0.00015868,0,675.80127,0,7.4726563,7.4912109,,
-0.00109911,0.000419799,-2.77E-05,0,678.68152,0,7.5722656,7.5908203,,
-0.000298023,-0.000381287,-0.0001124,0,678.64264,0,7.671875,7.6904297,,
-0.00056982,-0.00010949,-9.50E-05,0,679.18414,0,7.7714844,7.7900391,,
-0.000267029,-0.000412281,-4.24E-06,0,680.21082,0,7.8710938,7.8896484,,
-0.000715256,3.59E-05,-0.000186074,0,681.87512,0,7.9707031,7.9892578,,
-0.001440048,0.000760738,-0.000115421,0,681.15125,0,8.0703125,8.0888672,,
