MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,409.35938,s,1/20/2017 16:53
Axial Displacement,Axial Displacement Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,,,
mm,mm,N,N,s,s,,,,
-2.0798254,-0.000207424,-50.325951,0,0.50195313,0.5234375,,,,
-2.0804954,0.000462532,-51.108768,0,1.0019531,1.0234375,,,,
-2.0799756,-5.72E-05,-52.669689,0,1.5019531,1.5234375,,,,
-2.0803499,0.000317097,-52.909252,0,2.0019531,2.0234375,,,,
-2.0800889,5.60E-05,-51.498951,0,2.5019531,2.5234375,,,,
-2.080164,0.00013113,-51.809265,0,3.0019531,3.0234375,,,,
-2.0792902,-0.000742674,-51.6003,0,3.5019531,3.5234375,,,,
-2.0799017,-0.00013113,-53.873123,0,4.0019531,4.0234375,,,,
-2.0804417,0.000408888,-52.542892,0,4.5019531,4.5234375,,,,
-2.0805073,0.000474453,-53.273678,0,5.0019531,5.0234375,,,,
-2.0797479,-0.00028491,-52.291458,0,5.5019531,5.5234375,,,,
-2.0796251,-0.000407696,-52.408432,0,6.0019531,6.0234375,,,,
-2.0800877,5.48E-05,-52.631786,0,6.5019531,6.5234375,,,,
-2.0801282,9.54E-05,-51.749756,0,7.0019531,7.0234375,,,,
-2.0797431,-0.000289679,-53.824974,0,7.5019531,7.5234375,,,,
-2.080096,6.32E-05,-56.179031,0,8.0019531,8.0234375,,,,
-2.079463,-0.00056982,-53.635681,0,8.5019531,8.5234375,,,,
-2.0801532,0.000120401,-54.20607,0,9.0019531,9.0234375,,,,
-2.0799184,-0.000114441,-53.192696,0,9.5019531,9.5234375,,,,
-2.0796204,-0.000412464,-53.408512,0,10.001953,10.023438,,,,
-2.0799375,-9.94E-05,-53.683483,0,10.501953,10.523438,,,,
-2.079587,-0.00046277,-53.789631,0,11.001953,11.023438,,,,
-2.0802069,0.000135183,-55.003494,0,11.501953,11.523438,,,,
-2.0797324,-0.000370502,-53.580521,0,12.001953,12.023438,,,,
-2.0799994,-0.00014329,-54.058224,0,12.501953,12.523438,,,,
-2.0803499,0.000158072,-53.752171,0,13.001953,13.023438,,,,
-2.0803678,0.000117779,-53.977779,0,13.501953,13.523438,,,,
-2.0796835,-0.000633478,-50.90218,0,14.001953,14.023438,,,,
-2.0794404,-0.000952721,-51.653477,0,14.501953,14.523438,,,,
-2.080133,-0.00034523,-54.647564,0,15.001953,15.023438,,,,
-2.0800972,-0.000475168,-57.202347,0,15.501953,15.523438,,,,
-2.0806718,-3.81E-06,-58.809296,0,16.001953,16.023438,,,,
-2.08022,-0.000567675,-59.92709,0,16.501953,16.523438,,,,
-2.0813978,0.000488758,-63.273079,0,17.001953,17.023438,,,,
-2.0816422,0.000602961,-64.484657,0,17.501953,17.523438,,,,
-2.0813406,0.000162125,-63.112026,0,18.001953,18.023438,,,,
-2.0811117,-0.000215054,-65.034698,0,18.501953,18.523438,,,,
-2.081598,0.000114203,-65.769913,0,19.001953,19.023438,,,,
-2.0826149,0.000964642,-68.466385,0,19.501953,19.523438,,,,
-2.0819211,9.56E-05,-69.395454,0,20.001953,20.023438,,,,
-2.0817196,-0.000290155,-70.980629,0,20.501953,20.523438,,,,
-2.082417,0.000213861,-69.855568,0,21.001953,21.023438,,,,
-2.0821071,-0.000298262,-71.047661,0,21.501953,21.523438,,,,
-2.0817649,-0.00085187,-72.022316,0,22.001953,22.023438,,,,
-2.082417,-0.000420094,-72.806419,0,22.501953,22.523438,,,,
-2.0826149,-0.000451565,-74.474678,0,23.001953,23.023438,,,,
-2.0832992,-5.72E-06,-80.610725,0,23.501953,23.523438,,,,
-2.0835721,1.98E-05,-80.151672,0,24.001953,24.023438,,,,
-2.0843315,0.000522852,-82.994438,0,24.501953,24.523438,,,,
-2.0840573,-1.67E-05,-84.690331,0,25.001953,25.023438,,,,
-2.085309,0.000960588,-95.034325,0,25.501953,25.523438,,,,
-2.0866346,0.002002716,-102.85448,0,26.001953,26.023438,,,,
-2.0861995,0.001275063,-101.83681,0,26.501953,26.523438,,,,
-2.0861101,0.000884295,-101.51195,0,27.001953,27.023438,,,,
-2.0864582,0.000921965,-100.77022,0,27.501953,27.523438,,,,
-2.0861781,0.000322342,-99.630165,0,28.001953,28.023438,,,,
-2.086376,0.000191689,-99.103775,0,28.501953,28.523438,,,,
-2.0864928,-2.91E-05,-100.80968,0,29.001953,29.023438,,,,
-2.0865262,-0.000342131,-102.8043,0,29.501953,29.523438,,,,
-2.087698,0.000474215,-104.82059,0,30.001953,30.023438,,,,
-2.0874727,-0.000115633,-107.83788,0,30.501953,30.523438,,,,
-2.087549,-0.000412941,-112.73041,0,31.001953,31.023438,,,,
-2.0880425,-0.000301838,-114.27985,0,31.501953,31.523438,,,,
-2.0884013,-0.000334501,-116.72356,0,32.001953,32.023438,,,,
-2.0881486,-0.000987768,-119.45052,0,32.501953,32.523438,,,,
-2.0891809,-0.000365019,-119.95474,0,33.001953,33.023438,,,,
-2.0891702,-0.000794172,-123.3344,0,33.501953,33.523438,,,,
-2.0903981,6.20E-06,-129.3548,0,34.001953,34.023438,,,,
-2.0908368,8.34E-06,-133.39987,0,34.501953,34.523438,,,,
-2.0909297,-0.000344276,-136.80685,0,35.001953,35.023438,,,,
-2.0920181,0.000289679,-140.90598,0,35.501953,35.523438,,,,
-2.0923197,0.000127792,-147.80133,0,36.001953,36.023438,,,,
-2.0928645,0.000200033,-152.57271,0,36.501953,36.523438,,,,
-2.0931363,-9.54E-06,-154.16237,0,37.001953,37.023438,,,,
-2.094059,0.000422478,-155.87494,0,37.501953,37.523438,,,,
-2.0938826,-0.000253439,-158.01811,0,38.001953,38.023438,,,,
-2.0944703,-0.000174046,-161.22258,0,38.501953,38.523438,,,,
-2.094593,-0.000568867,-161.99545,0,39.001953,39.023438,,,,
-2.0952785,-0.000409842,-169.80394,0,39.501953,39.523438,,,,
-2.0965672,0.000343323,-177.30904,0,40.001953,40.023438,,,,
-2.0968401,7.20E-05,-181.64551,0,40.501953,40.523438,,,,
-2.097652,0.000330448,-188.58394,0,41.001953,41.023438,,,,
-2.0985639,0.00067997,-191.06889,0,41.501953,41.523438,,,,
-2.0981038,-0.000351667,-192.35162,0,42.001953,42.023438,,,,
-2.098794,-0.000241756,-196.68237,0,42.501953,42.523438,,,,
-2.0999241,0.000298977,-201.88695,0,43.001953,43.023438,,,,
-2.0997643,-0.000458956,-207.69783,0,43.501953,43.523438,,,,
-2.1005368,-0.00029397,-210.82906,0,44.001953,44.023438,,,,
-2.1007681,-0.000679016,-215.06923,0,44.501953,44.523438,,,,
